Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:01.52]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.70]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.70]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:00:03.74]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.TheEightRedsTests.GroupASpeed [2 s]
  Standard Output Messages:
 A | #41 29.50 s | text 13 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 4.72 s | tone 730
 A | #41 29.75 s | text 13 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 4.97 s | tone 730
 A | #41 30.00 s | text 13 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 5.22 s | tone 730
 A | #41 30.25 s | text 13 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 5.47 s | tone 730
 A | #41 30.50 s | text 13 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 5.72 s | tone 730
 A | #41 30.75 s | text 22 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 5.97 s | tone 730
 A | #41 31.00 s | text 22 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 6.22 s | tone 730
 A | #41 31.25 s | text 23 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 6.47 s | tone 730
 A | #41 31.50 s | text 23 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 6.72 s | tone 730
 A | #41 31.75 s | text 22 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 6.97 s | tone 730
 A | #41 32.00 s | text 22 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 7.22 s | tone 730
 A | #41 32.25 s | text 21 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 7.47 s | tone 730
 A | #41 32.50 s | text 21 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 7.72 s | tone 730
 A | #41 32.75 s | text 23 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 7.97 s | tone 730
 A | #41 33.00 s | text 23 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 8.22 s | tone 730
 A | #41 33.25 s | text 21 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 8.47 s | tone 730
 A | #41 33.50 s | text 21 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 8.72 s | tone 730
 A | #41 33.75 s | text 22 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 8.97 s | tone 730
 A | #41 34.00 s | text 22 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 9.22 s | tone 730
 A | #41 34.25 s | text 20 | last-wpm 21.82 | wpm null | reacquiring True | retunes 4 | follows 4 | since 9.47 s | tone 730
