Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:00.06]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.23]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.24]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:04:18.39]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.WhatPitchTheDecoderIsOnTests.OnEveryCaptureInTheTree [4 m 18 s]
  Standard Output Messages:
 window | unadjudicated/cw-2026-08-18-003758 | 3 to 5 s | instrument 500.2 | tracker 497.5 | mix 497.5 | measured 1.00 | err -2.7 | swing 40.5 dB | keyed 0.63 s
 window | unadjudicated/cw-2026-08-18-003758 | 4 to 6 s | instrument 500.1 | tracker 500.0 | mix 500.0 | measured 1.00 | err -0.1 | swing 31.7 dB | keyed 0.30 s
 window | unadjudicated/cw-2026-08-18-003758 | 5 to 7 s | instrument 498.2 | tracker 500.0 | mix 500.0 | measured 1.00 | err +1.8 | swing 39.3 dB | keyed 0.40 s
 window | unadjudicated/cw-2026-08-18-003758 | 6 to 8 s | instrument 502.1 | tracker 500.0 | mix 500.0 | measured 1.00 | err -2.1 | swing 41.9 dB | keyed 0.65 s
 window | unadjudicated/cw-2026-08-18-003758 | 7 to 9 s | instrument 499.9 | tracker 500.0 | mix 500.0 | measured 1.00 | err +0.1 | swing 44.6 dB | keyed 0.64 s
 window | unadjudicated/cw-2026-08-18-003758 | 8 to 10 s | instrument 501.9 | tracker 500.0 | mix 500.0 | measured 1.00 | err -1.9 | swing 44.0 dB | keyed 0.64 s
 window | unadjudicated/cw-2026-08-18-003758 | 9 to 11 s | instrument 500.8 | tracker 500.0 | mix 500.0 | measured 1.00 | err -0.8 | swing 40.2 dB | keyed 0.74 s
 window | unadjudicated/cw-2026-08-18-003758 | 10 to 12 s | instrument 497.2 | tracker 500.0 | mix 500.0 | measured 1.00 | err +2.8 | swing 42.4 dB | keyed 1.00 s
 window | unadjudicated/cw-2026-08-18-003758 | 11 to 13 s | instrument 499.5 | tracker 500.0 | mix 500.0 | measured 1.00 | err +0.5 | swing 44.8 dB | keyed 1.05 s
 window | unadjudicated/cw-2026-08-18-003758 | 12 to 14 s | instrument 503.2 | tracker 500.0 | mix 500.0 | measured 1.00 | err -3.2 | swing 42.1 dB | keyed 0.86 s
