Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:01.61]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.85]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.86]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:00:02.08]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.WhereTheSecondDecodersFirstDitGoesTests.ThroughTheCaseSampleBySample [194 ms]
  Standard Output Messages:
 HM-REQ-122 | trace | emitted `GARIS CQ ` | 8256 decision samples
 mark | 1 | 10.0026 s to 10.0643 s | 493 samples
 mark | 2 | 10.1359 s to 10.3309 s | 1560 samples
 mark | 3 | 10.4025 s to 10.5975 s | 1560 samples
 mark | 4 | 10.6693 s to 10.7309 s | 493 samples
 mark | 5 | 10.9359 s to 10.9975 s | 493 samples
 mark | 6 | 11.0693 s to 11.2643 s | 1560 samples
 lead-in last second | 500 samples | in tone 227 | downs 22 | spikes 18 | ups 4 | mean CWupper 0.8389 | mean CWlower 0.8395 | mean value 0.8404 | mean magnitude 0.02390 | agc_peak 0.02862 | noise_floor 0.02273 | sig_avg 0.02400
 row | t_in s | t_filt s | magnitude | value | agc_peak | noise_floor | sig_avg | CWupper | CWlower | state | smpl_ctr | two_dots | events | printed | held
 row | 9.1199 | 9.1840 | 0.01990 | 0.6972 | 0.02854 | 0.02555 | 0.02389 | 0.8489 | 0.8546 | idle | 480 | 1025 |  |  | 
 row | 9.1219 | 9.1860 | 0.02217 | 0.7770 | 0.02854 | 0.02553 | 0.02389 | 0.8487 | 0.8544 | idle | 496 | 1025 |  |  | 
 row | 9.1239 | 9.1880 | 0.02180 | 0.7640 | 0.02854 | 0.02551 | 0.02389 | 0.8485 | 0.8542 | idle | 512 | 1025 |  |  | 
 row | 9.1259 | 9.1900 | 0.02160 | 0.7570 | 0.02854 | 0.02549 | 0.02389 | 0.8483 | 0.8539 | idle | 528 | 1025 |  |  | 
 row | 9.1279 | 9.1920 | 0.02242 | 0.7858 | 0.02854 | 0.02548 | 0.02389 | 0.8482 | 0.8537 | idle | 544 | 1025 |  |  | 
 row | 9.1299 | 9.1940 | 0.02420 | 0.8480 | 0.02853 | 0.02548 | 0.02389 | 0.8483 | 0.8539 | idle | 560 | 1025 |  |  | 
 row | 9.1319 | 9.1960 | 0.02312 | 0.8103 | 0.02853 | 0.02546 | 0.02389 | 0.8482 | 0.8537 | idle | 576 | 1025 |  |  | 
 row | 9.1339 | 9.1980 | 0.02216 | 0.7768 | 0.02853 | 0.02545 | 0.02388 | 0.8480 | 0.8535 | idle | 592 | 1025 |  |  | 
 row | 9.1359 | 9.2000 | 0.02259 | 0.7917 | 0.02853 | 0.02543 | 0.02388 | 0.8479 | 0.8533 | idle | 608 | 1025 |  |  | 
 row | 9.1379 | 9.2020 | 0.02229 | 0.7813 | 0.02853 | 0.02542 | 0.02388 | 0.8477 | 0.8531 | idle | 624 | 1025 |  |  | 
 row | 9.1399 | 9.2040 | 0.02298 | 0.8054 | 0.02853 | 0.02540 | 0.02388 | 0.8476 | 0.8530 | idle | 640 | 1025 |  |  | 
 row | 9.1419 | 9.2060 | 0.02405 | 0.8432 | 0.02853 | 0.02540 | 0.02388 | 0.8478 | 0.8531 | idle | 656 | 1025 |  |  | 
 row | 9.1439 | 9.2080 | 0.02331 | 0.8172 | 0.02853 | 0.02539 | 0.02388 | 0.8477 | 0.8530 | idle | 672 | 1025 |  |  | 
 row | 9.1459 | 9.2100 | 0.02149 | 0.7532 | 0.02853 | 0.02537 | 0.02388 | 0.8475 | 0.8527 | idle | 688 | 1025 |  |  | 
 row | 9.1479 | 9.2120 | 0.02182 | 0.7649 | 0.02853 | 0.02536 | 0.02388 | 0.8473 | 0.8525 | idle | 704 | 1025 |  |  | 
 row | 9.1499 | 9.2140 | 0.02100 | 0.7360 | 0.02853 | 0.02534 | 0.02387 | 0.8471 | 0.8522 | idle | 720 | 1025 |  |  | 
 row | 9.1519 | 9.2160 | 0.02148 | 0.7531 | 0.02853 | 0.02532 | 0.02387 | 0.8468 | 0.8519 | idle | 736 | 1025 |  |  | 
 row | 9.1539 | 9.2180 | 0.02326 | 0.8154 | 0.02853 | 0.02531 | 0.02387 | 0.8468 | 0.8518 | idle | 752 | 1025 |  |  | 
 row | 9.1559 | 9.2200 | 0.02502 | 0.8771 | 0.02853 | 0.02531 | 0.02387 | 0.8469 | 0.8519 | tone | 0 | 1025 | down |  | 
 row | 9.1579 | 9.2220 | 0.02573 | 0.9021 | 0.02852 | 0.02531 | 0.02387 | 0.8470 | 0.8521 | tone | 16 | 1025 |  |  | 
 row | 9.1599 | 9.2240 | 0.02467 | 0.8651 | 0.02852 | 0.02531 | 0.02387 | 0.8472 | 0.8522 | tone | 32 | 1025 |  |  | 
 row | 9.1619 | 9.2260 | 0.02302 | 0.8071 | 0.02852 | 0.02529 | 0.02387 | 0.8471 | 0.8520 | idle | 48 | 1025 | spike 48 |  | 
 row | 9.1639 | 9.2280 | 0.02350 | 0.8242 | 0.02852 | 0.02529 | 0.02387 | 0.8470 | 0.8519 | idle | 64 | 1025 |  |  | 
 row | 9.1659 | 9.2300 | 0.02440 | 0.8556 | 0.02851 | 0.02529 | 0.02387 | 0.8471 | 0.8521 | tone | 0 | 1025 | down |  | 
 row | 9.1679 | 9.2320 | 0.02477 | 0.8688 | 0.02851 | 0.02529 | 0.02387 | 0.8473 | 0.8522 | tone | 16 | 1025 |  |  | 
 row | 9.1699 | 9.2340 | 0.02564 | 0.8993 | 0.02851 | 0.02529 | 0.02388 | 0.8474 | 0.8523 | tone | 32 | 1025 |  |  | 
 row | 9.1719 | 9.2360 | 0.02504 | 0.8784 | 0.02850 | 0.02529 | 0.02388 | 0.8475 | 0.8525 | tone | 48 | 1025 |  |  | 
 row | 9.1739 | 9.2380 | 0.02491 | 0.8738 | 0.02850 | 0.02529 | 0.02388 | 0.8477 | 0.8526 | tone | 64 | 1025 |  |  | 
 row | 9.1759 | 9.2400 | 0.02545 | 0.8931 | 0.02850 | 0.02529 | 0.02388 | 0.8478 | 0.8527 | tone | 80 | 1025 |  |  | 
 row | 9.1779 | 9.2420 | 0.02590 | 0.9089 | 0.02850 | 0.02529 | 0.02388 | 0.8479 | 0.8529 | tone | 96 | 1025 |  |  | 
 row | 9.1799 | 9.2440 | 0.02533 | 0.8891 | 0.02849 | 0.02529 | 0.02388 | 0.8481 | 0.8530 | tone | 112 | 1025 |  |  | 
 row | 9.1819 | 9.2460 | 0.02559 | 0.8983 | 0.02849 | 0.02529 | 0.02388 | 0.8482 | 0.8531 | tone | 128 | 1025 |  |  | 
 row | 9.1839 | 9.2480 | 0.02402 | 0.8432 | 0.02848 | 0.02529 | 0.02388 | 0.8483 | 0.8533 | idle | 144 | 1025 | spike 144 |  | 
 row | 9.1859 | 9.2500 | 0.02019 | 0.7090 | 0.02848 | 0.02526 | 0.02388 | 0.8481 | 0.8529 | idle | 160 | 1025 |  |  | 
 row | 9.1879 | 9.2520 | 0.02056 | 0.7216 | 0.02848 | 0.02524 | 0.02388 | 0.8478 | 0.8526 | idle | 176 | 1025 |  |  | 
 row | 9.1899 | 9.2540 | 0.02191 | 0.7690 | 0.02848 | 0.02522 | 0.02388 | 0.8476 | 0.8523 | idle | 192 | 1025 |  |  | 
 row | 9.1919 | 9.2560 | 0.02239 | 0.7859 | 0.02848 | 0.02521 | 0.02387 | 0.8475 | 0.8522 | idle | 208 | 1025 |  |  | 
 row | 9.1939 | 9.2580 | 0.02314 | 0.8124 | 0.02848 | 0.02520 | 0.02387 | 0.8474 | 0.8520 | idle | 224 | 1025 |  |  | 
 row | 9.1959 | 9.2600 | 0.02322 | 0.8152 | 0.02848 | 0.02519 | 0.02387 | 0.8473 | 0.8519 | idle | 240 | 1025 |  |  | 
 row | 9.1979 | 9.2620 | 0.02380 | 0.8357 | 0.02848 | 0.02518 | 0.02387 | 0.8473 | 0.8518 | idle | 256 | 1025 |  |  | 
 row | 9.1999 | 9.2640 | 0.02386 | 0.8375 | 0.02848 | 0.02517 | 0.02387 | 0.8472 | 0.8518 | idle | 272 | 1025 |  |  | 
 row | 9.2019 | 9.2660 | 0.02225 | 0.7810 | 0.02848 | 0.02516 | 0.02387 | 0.8471 | 0.8516 | idle | 288 | 1025 |  |  | 
 row | 9.2039 | 9.2680 | 0.02181 | 0.7656 | 0.02848 | 0.02514 | 0.02387 | 0.8469 | 0.8514 | idle | 304 | 1025 |  |  | 
 row | 9.2059 | 9.2700 | 0.02108 | 0.7401 | 0.02848 | 0.02512 | 0.02387 | 0.8467 | 0.8511 | idle | 320 | 1025 |  |  | 
 row | 9.2079 | 9.2720 | 0.02149 | 0.7543 | 0.02848 | 0.02510 | 0.02386 | 0.8465 | 0.8508 | idle | 336 | 1025 |  |  | 
 row | 9.2099 | 9.2740 | 0.02224 | 0.7807 | 0.02848 | 0.02509 | 0.02386 | 0.8463 | 0.8506 | idle | 352 | 1025 |  |  | 
 row | 9.2119 | 9.2760 | 0.02220 | 0.7793 | 0.02848 | 0.02507 | 0.02386 | 0.8462 | 0.8504 | idle | 368 | 1025 |  |  | 
 row | 9.2139 | 9.2780 | 0.02322 | 0.8152 | 0.02848 | 0.02506 | 0.02386 | 0.8461 | 0.8503 | idle | 384 | 1025 |  |  | 
 row | 9.2159 | 9.2800 | 0.02282 | 0.8012 | 0.02848 | 0.02505 | 0.02386 | 0.8460 | 0.8502 | idle | 400 | 1025 |  |  | 
 row | 9.2179 | 9.2820 | 0.02333 | 0.8191 | 0.02848 | 0.02504 | 0.02386 | 0.8459 | 0.8501 | idle | 416 | 1025 |  |  | 
 row | 9.2199 | 9.2840 | 0.02250 | 0.7899 | 0.02848 | 0.02503 | 0.02386 | 0.8458 | 0.8499 | idle | 432 | 1025 |  |  | 
 row | 9.2219 | 9.2860 | 0.02106 | 0.7394 | 0.02848 | 0.02501 | 0.02385 | 0.8456 | 0.8496 | idle | 448 | 1025 |  |  | 
 row | 9.2239 | 9.2880 | 0.02049 | 0.7195 | 0.02848 | 0.02499 | 0.02385 | 0.8453 | 0.8493 | idle | 464 | 1025 |  |  | 
 row | 9.2259 | 9.2900 | 0.02207 | 0.7748 | 0.02848 | 0.02497 | 0.02385 | 0.8452 | 0.8491 | idle | 480 | 1025 |  |  | 
 row | 9.2279 | 9.2920 | 0.02250 | 0.7900 | 0.02848 | 0.02496 | 0.02385 | 0.8450 | 0.8489 | idle | 496 | 1025 |  |  | 
 row | 9.2299 | 9.2940 | 0.02191 | 0.7691 | 0.02848 | 0.02495 | 0.02385 | 0.8449 | 0.8487 | idle | 512 | 1025 |  |  | 
